Date,Average Open Price (USD),Average High Price (USD),Average Low Price (USD),Average Close Price (USD)
2014-12-22,321.4483133333333,330.0906566666667,320.8883133333333,329.21398999999997
2014-12-23,334.86206999999996,338.74207,327.8253733333333,336.19246000000004
2014-12-24,336.36779333333334,336.5677933333333,321.3634566666667,322.07679
2014-12-25,322.79999999999995,323.4,317.26,319.43
2014-12-26,319.84306999999995,327.43973666666665,318.21640333333335,325.7464033333333
2014-12-27,325.49045333333333,325.49045333333333,312.5814433333333,317.1266666666667
2014-12-28,317.5833333333333,319.39712000000003,312.08672333333334,316.06005666666664
2014-12-29,319.3983333333333,322.21,312.0599966666667,313.23000333333334
2014-12-30,322.2243066666667,323.6743066666666,310.31,310.9533333333333
2014-12-31,313.0782,319.24593333333337,311.57111333333336,319.0459333333333
2015-01-01,317.51289333333335,321.16929,313.16956,317.55234333333334
2015-01-02,313.53283000000005,317.67333333333335,312.71283,315.27801
2015-01-03,315.1767,317.10793333333334,281.16518666666667,281.83185333333336
2015-01-04,283.1746,291.92067333333335,259.8830233333333,262.8830233333333
2015-01-05,264.93505999999996,278.82,258.95184666666665,274.82336000000004
2015-01-06,266.620005,290.74512500000003,264.260005,283.27056500000003
2015-01-07,277.550005,301.91486499999996,277.000005,298.499865
2015-01-08,293.100005,293.100005,284.58266000000003,284.58266000000003
2015-01-09,282.60999999999996,300.1850533333333,279.47896333333335,295.5950533333333
2015-01-10,291.4323,294.46896666666663,272.2525,276.13666666666666
2015-01-11,273.1668966666667,276.68414666666666,264.02666666666664,265.8612
2015-01-12,266.8469333333333,281.82666666666665,264.0166766666667,266.6991233333333
2015-01-13,267.4766666666667,267.9266666666667,217.86003333333335,224.28000333333333
2015-01-14,225.1,230.7873,164.11666666666667,176.5233333333333
2015-01-15,176.03,234.95863,173.34,215.8998
2015-01-16,211.89991,222.38333333333333,197.74667,209.35747666666668
2015-01-17,204.39333333333335,208.6799,195.46333333333334,200.30556666666666
2015-01-18,200.86333333333334,220.08666666666667,197.1886166666667,213.8918
2015-01-19,209.72005,216.72,207.51333333333332,213.51999999999998
2015-01-20,213.31903333333332,217.45461333333333,205.02833333333334,213.77293999999998
2015-01-21,209.90035666666668,226.91278666666668,207.27368666666666,225.4416666666667
2015-01-22,226.32667,238.60998333333336,225.21333666666666,231.50187000000003
2015-01-23,231.63773333333336,236.83759,224.40869999999998,233.22762
2015-01-24,233.09420666666665,250.78460333333337,231.3508733333333,249.5041666666667
